Year,INDIA,UNITED KINGDOM,CANADA,GERMANY,POLAND,UNITED STATES OF AMERICA,BELGIUM,FRANCE,AUSTRIA,NORWAY,HUNGARY,SPAIN,SWEDEN,DENMARK,NETHERLANDS,SWITZERLAND,FINLAND,ITALY,TURKEY,GREECE,JAPAN,BULGARIA,INDONESIA,MALAYSIA,JORDAN,EGYPT,CHINA
1900,3929,180878,6508,88853,17278,180878,13555,35283,7553,1134,2616,3062,2503,1405,3994,1549,164,3796,283,114,5298,59,330,16,47,3,26
1901,4333,196923,7000,87115,18258,196923,12748,34117,7741,1063,2625,3222,2326,1463,3906,1415,115,3690,259,114,6352,74,612,13,44,23,536
1902,4412,208650,7631,93777,17874,208650,13334,32113,7002,1158,2415,3367,2436,1502,3903,1429,109,4098,286,91,6808,65,420,14,53,11,570
1903,4931,244106,9033,97195,18692,244106,14364,35301,6973,1157,2504,3323,2676,1563,4175,1548,140,4180,329,109,7038,64,819,14,58,84,627
1904,5042,240235,9658,104346,18936,240235,13742,34388,7349,1135,2532,3546,2818,1686,4412,1627,144,4418,373,97,7929,82,919,9,69,25,4670
1905,5825,268695,10204,98782,20438,268695,13719,34778,7671,1132,2574,3704,2774,1640,4529,1703,160,4870,418,76,8169,98,1128,11,104,49,4596
1906,6500,282025,12825,120683,21477,282025,15692,37273,9153,1153,2774,3783,3082,1786,4928,1882,168,5756,431,71,8967,86,1215,10,123,115,6204
1907,7437,328003,12939,121900,23798,328003,15918,39737,11495,1305,2785,3847,3486,1592,5070,2183,242,6225,513,117,9572,124,1445,24,135,236,5687
1908,7183,286838,12387,121608,25388,286838,15788,40042,16087,1560,2940,4035,3724,1975,5164,2185,384,6349,470,199,10271,163,1499,25,143,188,5117
1909,7013,317509,14089,121552,26074,317509,15765,40965,11509,1573,3235,4139,3428,2185,5436,2202,350,7015,534,153,10441,165,1634,46,179,124,7600
1910,7400,346405,16449,125160,25804,346405,16727,41106,15698,1621,3187,4065,3545,2006,5686,2126,290,7024,514,196,10749,173,1668,64,203,153,2671
1911,8520,342900,18360,136223,27184,342900,16836,42824,13111,1659,3274,4020,3453,2137,6026,2350,359,7243,608,247,12066,245,1836,0,267,145,2936
1912,9399,366051,21638,146038,30277,366051,17679,43280,13630,1877,3358,4362,3826,2534,6802,2391,405,7601,545,365,13450,245,1594,5,286,128,4123
1913,9475,393044,18663,135897,31716,393044,18563,46701,16274,1888,3555,4754,4301,2600,7519,2525,454,8178,556,3,14824,215,1610,17,333,136,4391
1914,9901,359088,16680,126339,26475,359088,11074,32301,13328,2104,3164,4722,4052,2665,7048,2300,188,7434,454,6,15834,323,1642,40,339,151,4903
1915,10011,372617,20867,136653,25858,372617,9394,28175,9525,2306,3211,4179,4080,2853,6696,2436,29,6490,283,18,14422,208,1646,56,388,145,5418
1916,10469,413826,23265,143171,29688,413826,12498,29937,2192,2155,3230,4876,4301,2788,6113,2315,49,6417,140,25,15993,252,1846,150,432,155,5743
1917,11779,455368,24432,137397,32992,455368,9893,33189,942,954,3198,4326,1846,2029,2362,1667,33,4400,107,34,18418,311,1948,178,386,237,6620
1918,12861,476415,20767,105739,27709,476415,9204,29599,911,1215,2907,4567,2184,2368,3965,1568,20,5180,125,29,19526,388,1946,183,411,252,7306
1919,10415,403098,23029,117142,745,403098,12246,31698,823,1444,1298,4347,2096,2248,5999,1257,65,5079,256,185,21614,228,2084,210,480,279,6902
1920,11202,473769,21966,129143,20846,473769,15053,41424,3965,1447,1525,3836,2839,1963,6051,1974,75,4877,383,203,20273,300,2255,303,425,275,7269
1921,11023,388093,18889,124307,20455,388093,13792,37639,5278,921,2521,4052,1641,1854,6341,1219,77,5972,230,185,18234,373,2390,386,452,260,8775
1922,11347,391192,25377,90592,19588,391192,15259,44528,5073,1769,3005,4078,2714,2634,7443,1679,194,7014,276,251,19495,412,2265,547,523,238,9578
1923,12148,516924,21120,123306,14342,516924,19619,50270,4852,1854,3237,4698,3302,2873,7423,2092,403,7321,402,354,20717,438,2617,705,601,225,9067
